Image,Similarity (%),Remark
09B21488_ss.png,100.00,100.00
09B21494_ss.png,100.00,100.00
09B21420_ss.png,100.00,100.00
09B21551_ss.png,100.00,100.00
09B21428_ss.png,100.00,100.00
09B21524_ss.png,100.00,100.00
50M24159_ss.png,100.00,100.00
09B21531_ss.png,100.00,100.00
09B21507_ss.png,100.00,100.00
09B21442_ss.png,100.00,100.00
09B21478_ss.png,100.00,100.00
50M24131_ss.png,100.00,100.00
50M24139_ss.png,100.00,100.00
09B21612_ss.png,100.00,100.00
50M24137_ss.png,100.00,100.00
09B21539_ss.png,100.00,100.00
09B21448_ss.png,100.00,100.00
09B21430_ss.png,74.19,74.19
09B21600_ss.png,0.52,0.52